decimal_date;T1;T2;T3;T4;T5
1964.29;6.238113391007911;1.3587049364447357;8.952250383294102;20.055768219970165;15.689878311626655
1964.373;6.552117623400402;1.5095067114658622;9.384700609670364;20.67520061175533;14.810064973987418
1964.456;6.888592899034201;1.6822251922252294;9.86757556138626;21.39653031874982;14.318843761258066
1964.54;7.252599377679356;1.8589493723242985;10.37444045187043;22.039826085040023;14.351113531052214
1964.624;7.667501567741009;2.059976705786443;10.954734621399597;22.754825833736017;14.813334561888484
1964.708;8.108474318711812;2.301237223062481;11.576724585991265;23.543330537750887;15.435818214313128
1964.791;8.550852868020197;2.581474588529214;12.156528053578668;24.32591583964717;16.009435820109136
1964.874;9.052736891742304;2.8853612943303;12.87911909294116;25.18992739524692;16.582483364856742
1964.958;9.609486697384142;3.2100762651889374;13.585706250506624;26.034699318897367;17.214398358497654
1965.042;10.217511837142409;3.59285527002896;14.408180607814169;26.914513627775325;17.860141704473026
1965.123;10.89408705380711;3.968719927800684;15.302279059444889;27.859384715121273;18.51762666072351
1965.204;11.58307152382765;4.444181976293604;16.173658260644537;28.872228927678183;19.278189924960586
1965.288;12.326898699509115;4.986581305303268;17.194622579422848;29.941512187705225;19.94342214328661
1965.371;13.17969179589531;5.5523142185941925;18.23235605767207;31.022370165972436;20.693015810144377
1965.455;14.11113608188023;6.214957121122532;19.391479812099018;32.168918917935045;21.479955051641664
1965.538;15.0880389501869;6.937690874044202;20.66692304805453;33.3651158556796;22.29698758744734
1965.623;16.208945579937296;7.683544795393301;21.99458901858488;34.65473717691393;23.193866221340745
1965.707;17.337800150150546;8.558095016788485;23.368508649916663;36.06175794825209;24.048375704996136
1965.79;18.62089484540663;9.592959032480078;24.949291743464467;37.411312876026294;24.972813106871804
1965.874;20.079016780480497;10.711512443010248;26.6581654840199;38.956565553042424;25.920395755773523
1965.958;21.65036772116049;11.919334167321312;28.48126321012063;40.57446289279345;26.936324262901415
1966.042;23.313222958552924;13.290975637656665;30.47245498433948;42.27070749906264;28.039616951215216
1966.123;25.154746880590235;14.847105728809916;32.67334263609579;44.112486656655705;29.105427465579087
1966.204;27.22349503752835;16.585661134300793;34.99994027279245;46.07092159193637;30.295624894273377
1966.288;29.533313314039724;18.532708182995012;37.54415726630507;48.05934899779826;31.462482745638397
1966.371;32.07660369162893;20.76726470859783;40.34017734482766;50.25210219392034;32.75166191489685
1966.455;34.85145449826895;23.278595294042105;43.41730650369827;52.65329554116848;34.18607820651821
1966.538;37.889976917237625;26.10139805225366;46.77289678872871;55.190971449327506;35.58036287256719
1966.623;41.20726965331051;29.26654499065557;50.363056061922464;57.8247487473932;37.07873148779501
1966.707;44.86373845674789;32.79417153877214;54.21036003640743;60.60420817490032;38.68299651624981
1966.79;48.852942487356394;36.695369988322255;58.36579514216507;63.670145841998554;40.35109026569392
1966.874;53.1354518413387;40.98234546846989;62.761199072795534;66.91796676357681;42.14052831905019
1966.958;57.696910064809;45.64929719341754;67.34513169364148;70.23313839092835;44.099876021979014
1967.042;62.489108631456176;50.62532916796284;72.12836806777757;73.70862500256959;46.09325006438812
1967.123;67.42837885685026;55.83052276678179;77.08512205315255;77.68249402522079;48.1672019128087
1967.204;72.4897967072777;61.18506518842256;82.10987803542595;81.98856993909088;50.47591683288987
1967.288;77.66508666521916;66.59468539593101;87.22341283540315;86.48090584653137;52.9482986284049
1967.371;82.92468586510675;72.05471190341999;92.42720470896164;91.22293840163992;55.46327042959918
1967.455;88.21190186119394;77.60938513586946;97.67619939343724;96.22745154731628;58.049099245427136
1967.538;93.49513621437428;83.22917588592148;102.91990373280044;101.39726625469316;60.881952477922646
1967.623;98.75753152316793;88.89132573840591;108.18241783866152;106.9684545709652;64.09145699210085
1967.707;104.1766572321841;94.66511297491782;113.5825974443376;112.80066970123106;67.51578765682284
1967.79;109.88482004844516;100.70914921690704;119.04039302722629;118.76092351589168;71.1299984608093
1967.874;115.63893692091057;106.78517991935152;124.3573400803678;124.63931002494988;75.0360274220374
1967.958;121.27356837513196;112.69651798964716;129.40471652664635;130.3000248505936;79.093239731421
1968.042;126.70622451797075;118.41557023935748;134.3690632293195;135.88650399658792;83.30337750513317
1968.124;131.92976545666818;124.00817175775424;139.1948946972639;141.24136626196645;87.70970312811926
1968.206;136.9537340015936;129.38934048512456;143.91317997307843;146.32544962349925;92.42689945793316
1968.29;141.7500058198095;134.44517963126717;148.447414394482;151.11822333253718;97.46274232215994
1968.373;146.23262028543488;139.22572477854746;152.68092001511317;155.6452970505802;102.60228840320148
1968.456;150.43381611868216;143.7088348719725;156.66857131809948;159.9683369208607;107.6957273544851
1968.54;154.2925735539683;147.85782948811416;160.37212892038028;164.01036797302623;112.5927506766551
1968.624;157.80948153059038;151.71917870524652;163.75588560395192;167.7959641677183;117.23683705261617
1968.708;161.03650039567017;155.19056064913576;166.8602891220566;171.26849291389271;121.67815791229444
1968.791;163.94318611535166;158.4752193669511;169.72267591031758;174.37428153445856;125.98516617475762
1968.874;166.5824316234217;161.47935824698664;172.29702841769733;177.148809667733;130.06825703296087
1968.958;168.94668822094616;164.1124023439085;174.48710107280786;179.76691415624936;133.799637079532
1969.042;170.982211147297;166.4395540760595;176.37298149140736;182.0984936505723;137.26134123673634
1969.123;172.64443185089073;168.4536033424097;177.93319430270094;184.093004411456;140.47239201060694
1969.204;173.95277631094828;170.10958836104632;179.16690101615444;185.7403245213363;143.40004389587813
1969.288;175.00453292539422;171.433923829977;180.13513459660192;187.0729071233877;146.07980502377615
